"Time","Request","StatusCode","DurationMs"
"17:27:15.779","1","200","276"
"17:27:16.435","2","200","139"
"17:27:17.143","3","200","162"
"17:27:17.789","4","200","142"
"17:27:18.440","5","200","154"
"17:27:19.125","6","200","148"
"17:27:20.007","7","200","352"
"17:27:20.673","8","200","149"
"17:27:21.316","9","200","140"
"17:27:21.953","10","200","129"
"17:27:22.595","11","200","130"
"17:27:23.223","12","200","125"
"17:27:23.845","13","200","115"
"17:27:24.512","14","200","156"
"17:27:25.152","15","200","129"
"17:27:25.821","16","200","152"
"17:27:26.456","17","200","128"
"17:27:27.075","18","200","116"
"17:27:27.700","19","200","125"
"17:27:28.340","20","200","129"
"17:27:28.949","21","200","108"
"17:27:29.606","22","200","149"
"17:27:30.248","23","200","142"
"17:27:30.923","24","200","165"
"17:27:31.558","25","200","118"
"17:27:32.194","26","200","136"
"17:27:32.838","27","200","137"
"17:27:33.496","28","200","144"
"17:27:34.139","29","200","135"
"17:27:34.793","30","200","153"
"17:27:35.439","31","200","143"
"17:27:36.066","32","200","124"
"17:27:36.724","33","200","138"
"17:27:37.378","34","200","145"
"17:27:38.024","35","200","129"
"17:27:38.672","36","200","136"
"17:27:39.330","37","200","143"
"17:27:39.967","38","200","138"
"17:27:40.639","39","200","153"
"17:27:41.363","40","200","220"
"17:27:41.982","41","200","110"
"17:27:42.624","42","200","137"
"17:27:43.258","43","200","124"
"17:27:43.919","44","200","148"
"17:27:44.568","45","200","138"
"17:27:45.220","46","200","140"
"17:27:45.881","47","200","148"
"17:27:46.524","48","200","134"
"17:27:47.192","49","200","163"
"17:27:47.804","50","200","120"
"17:27:48.475","51","200","158"
"17:27:49.099","52","200","117"
"17:27:49.733","53","200","127"
"17:27:50.368","54","200","122"
"17:27:51.037","55","200","159"
"17:27:51.732","56","200","178"
"17:27:52.392","57","200","142"
"17:27:53.044","58","200","144"
"17:27:53.704","59","200","151"
"17:27:54.369","60","200","146"
"17:27:54.993","61","200","119"
"17:27:55.650","62","200","140"
"17:27:56.321","63","200","158"
"17:27:56.945","64","200","118"
"17:27:57.593","65","200","138"
"17:27:58.259","66","200","146"
"17:27:58.901","67","200","135"
"17:27:59.543","68","200","135"
"17:28:00.200","69","200","150"
"17:28:00.828","70","200","123"
"17:28:01.489","71","200","151"
"17:28:02.158","72","200","148"
"17:28:02.807","73","200","144"
"17:28:03.446","74","200","136"
"17:28:04.068","75","200","114"
"17:28:04.715","76","200","128"
"17:28:05.369","77","200","156"
"17:28:06.019","78","200","140"
"17:28:06.645","79","200","118"
"17:28:07.290","80","200","131"
